File, Hex, Binary
raw-codes/on-28-high,008AA2AAA8AA228A2A2A00,10001010 10100010 10101010 10101000 10101010 00100010 10001010 00101010 00101010 00000000 
raw-codes/on-28-low,008AA2AAA8AA228AAA28,10001010 10100010 10101010 10101000 10101010 00100010 10001010 10101010 00101000 
raw-codes/on-28-med,008AA2AAA8AA228A8A8880,10001010 10100010 10101010 10101000 10101010 00100010 10001010 10001010 10001000 10000000 
raw-codes/on-29-cycle,008AA2AAA8AA222A288A20,10001010 10100010 10101010 10101000 10101010 00100010 00101010 00101000 10001010 00100000 
raw-codes/on-29-high,008AA2AAA8AA222A2A2880,10001010 10100010 10101010 10101000 10101010 00100010 00101010 00101010 00101000 10000000 
raw-codes/on-29-low,008AA2AAA8AA222AAA22,10001010 10100010 10101010 10101000 10101010 00100010 00101010 10101010 00100010 
raw-codes/on-29-med,008AA2AAAAA888AA2AA0,10001010 10100010 10101010 10101010 10101000 10001000 10101010 00101010 10100000 
raw-codes/on-30-cycle,008AA2AAA8AA22228A2228,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10001010 00100010 00101000 
raw-codes/on-30-high,008AA2AAA8AA22228A8A20,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10001010 10001010 00100000 
raw-codes/on-30-low,008AA2AAA8AA2222AA8880,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10101010 10001000 10000000 
raw-codes/on-30-med,008AA2AAA8AA2222A28A80,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10100010 10001010 10000000 
